pair_update_heads,pair_update_layers,pair_update_clamp_min,pair_update_clamp_max,dropout,runs_total,runs_ok,runs_failed,valid_auc_mean,valid_auc_std,test_auc_mean,test_auc_std
1,1,-3.0,3.0,0.0,3,3,0,0.7473958333333334,0.02599803443523928,0.4946869946869947,0.018920174006747698
1,1,-3.0,3.0,0.1,3,3,0,0.7404513888888888,0.021478718741961736,0.526969276969277,0.03994467589870606
1,1,-5.0,5.0,0.0,3,3,0,0.7473958333333334,0.02599803443523928,0.4946869946869947,0.018920174006747698
1,1,-5.0,5.0,0.1,3,3,0,0.7404513888888888,0.021478718741961736,0.526969276969277,0.03994467589870606
3,1,-3.0,3.0,0.0,3,3,0,0.7483217592592594,0.010857135433988146,0.474012474012474,0.031258095665541004
3,1,-3.0,3.0,0.1,3,3,0,0.7393518518518518,0.01966349689136116,0.46696696696696693,0.014509867214150545
3,1,-5.0,5.0,0.0,3,3,0,0.7481481481481481,0.010857135433988193,0.4738969738969739,0.03133365080419714
3,1,-5.0,5.0,0.1,3,3,0,0.7396412037037036,0.019856706269290595,0.4673712173712174,0.014149589125538008
