variant,seed,data_root,use_pair_update,pair_update_layers,pair_update_heads,pair_update_alpha,pair_update_clamp_min,pair_update_clamp_max,pretrain_epochs,logreg_epochs,best_pretrain_loss,best_valid_auc,best_test_auc,best_epoch
V0,9,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\down_task_2d,0,2,1,0.1,-5.0,5.0,1,5,16.588635262478604,0.7609375000000002,0.4930699930699931,4
V0,19,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\down_task_2d,0,2,1,0.1,-5.0,5.0,1,5,16.588560477519618,0.7505208333333333,0.5284130284130284,4
V0,29,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\down_task_2d,0,2,1,0.1,-5.0,5.0,1,5,16.589001001936666,0.7697916666666667,0.5913028413028413,4
V0-pairlearn,9,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\down_task_2d,1,2,3,0.1,-5.0,5.0,1,5,16.588999714823014,0.7956597222222223,0.6560984060984061,4
V0-pairlearn,19,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\down_task_2d,1,2,3,0.1,-5.0,5.0,1,5,16.588550519722624,0.7503472222222222,0.5356895356895357,4
V0-pairlearn,29,C:\Users\zhoutianyang\Desktop\SpecMol-Zip\SpecMol-Zip\down_task_2d,1,2,3,0.1,-5.0,5.0,1,5,16.588905626941184,0.7552083333333335,0.5852390852390852,4
